#Gene	syn.obs	syn.haps	lgd.obs	lgd.haps	dmis.obs	dmis.haps	lgd/dmis.obs	lgd/dmis.haps
OR4F5	0	9	0	0	1	4	0	0
OR4F29	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0
SAMD11	0	43	0	0	0	35	0	0
NOC2L	0	167	0	13	0	109	0	0
KLHL17	0	139	0	3	0	23	0	0
PLEKHN1	0	0	0	0	0	0	0	0
PERM1	3	560	0	13	0	66	0	0
HES4	0	17	0	3	0	85	0	0
ISG15	0	32	0	3	0	14	0	0
AGRN	12	758	0	7	7	791	0	0
RNF223	0	0	0	0	0	0	0	0
C1orf159	0	21	0	0	0	46	0	0
TTLL10	1	172	0	88	0	59	0	0
TNFRSF18	0	52	0	6	0	28	0	0
TNFRSF4	0	1	0	0	0	1	0	0
SDF4	0	38	0	3	0	9	0	0
B3GALT6	0	0	0	0	0	0	0	0
C1QTNF12	0	56	0	16	0	37	0	0
UBE2J2	1	258	0	0	0	5	0	0
SCNN1D	2	390	0	24	0	85	0	0
ACAP3	0	78	0	0	1	139	0	0
PUSL1	0	0	0	0	0	0	0	0
INTS11	0	0	0	5	0	0	0	0
CPTP	0	0	0	0	0	0	0	0
TAS1R3	2	402	0	7	1	154	0	0
DVL1	1	54	0	1	0	42	0	0
MXRA8	1	80	0	6	0	112	0	0
AURKAIP1	0	17	0	4	0	55	0	0
CCNL2	0	138	0	2	0	24	0	0
MRPL20	0	9	0	2	0	12	0	0
ANKRD65	0	19	0	1	0	6	0	0
TMEM88B	0	37	0	2	0	15	0	0
VWA1	0	11	0	6	0	3	0	0
ATAD3C	2	211	0	3	4	263	0	0
ATAD3B	2	1249	0	54	3	287	0	0
ATAD3A	2	464	0	10	1	280	0	0
TMEM240	0	0	0	0	0	0	0	0
SSU72	0	30	0	1	0	4	0	0
FNDC10	0	23	0	0	0	20	0	0
MIB2	0	268	0	20	1	204	0	0
MMP23B	0	0	0	0	0	0	0	0
CDK11B	3	240	0	0	0	99	0	0
SLC35E2B	0	0	0	0	0	0	0	0
CDK11A	0	513	0	7	0	37	0	0
SLC35E2A	0	0	0	1	0	0	0	0
NADK	0	41	0	1	0	64	0	0
GNB1	0	68	0	0	0	8	0	0
CALML6	0	44	0	3	0	13	0	0
TMEM52	0	0	0	0	0	0	0	0
CFAP74	0	7	0	1	0	16	0	0
GABRD	0	152	0	0	0	50	0	0
PRKCZ	0	140	0	2	0	53	0	0
FAAP20	0	4	0	1	0	0	0	0
SKI	7	388	0	0	0	66	0	0
MORN1	0	45	0	7	0	118	0	0
RER1	0	3	0	0	0	3	0	0
PEX10	0	124	0	7	0	54	0	0
PLCH2	6	646	0	14	2	289	0	0
PANK4	1	238	0	3	0	65	0	0
HES5	0	10	0	0	0	30	0	0
TNFRSF14	0	104	0	1	0	6	0	0
PRXL2B	0	2	0	0	0	8	0	0
MMEL1	0	70	0	12	1	233	0	0
TTC34	0	151	0	5	0	72	0	0
ACTRT2	0	60	0	0	0	26	0	0
PRDM16	5	485	0	18	1	378	0	0
ARHGEF16	0	57	0	5	0	152	0	0
MEGF6	1	361	0	23	2	231	0	0
TPRG1L	0	9	0	0	0	8	0	0
WRAP73	0	83	0	2	0	107	0	0
TP73	0	98	0	1	0	52	0	0
CCDC27	0	304	0	40	0	54	0	0
SMIM1	0	0	0	0	0	0	0	0
LRRC47	0	133	0	2	0	77	0	0
CEP104	0	203	0	55	0	145	0	0
DFFB	0	43	0	1	0	28	0	0
C1orf174	0	31	0	0	0	89	0	0
AJAP1	0	95	0	0	0	64	0	0
NPHP4	1	182	0	13	0	299	0	0
KCNAB2	0	114	0	0	0	22	0	0
CHD5	2	249	0	1	1	199	0	0
AL031847.2	0	20	0	0	0	15	0	0
RPL22	0	141	0	0	0	34	0	0
RNF207	0	165	0	2	0	105	0	0
ICMT	0	19	0	1	0	86	0	0
HES3	0	0	0	0	0	0	0	0
GPR153	1	56	0	3	0	93	0	0
ACOT7	1	132	0	6	0	27	0	0
HES2	0	11	0	1	0	7	0	0
ESPN	0	211	0	4	0	236	0	0
TNFRSF25	0	0	0	0	0	0	0	0
PLEKHG5	0	221	0	8	2	330	0	0
NOL9	0	27	0	1	0	19	0	0
TAS1R1	0	23	0	6	0	26	0	0
ZBTB48	0	31	0	1	0	9	0	0
KLHL21	0	76	0	1	0	71	0	0
PHF13	0	8	0	0	0	5	0	0
THAP3	0	12	0	2	0	84	0	0
DNAJC11	0	35	0	0	0	32	0	0
CAMTA1	1	269	0	3	3	277	0	0
VAMP3	0	4	0	0	0	4	0	0
PER3	2	190	0	10	1	140	0	0
UTS2	0	17	0	2	0	10	0	0
TNFRSF9	0	26	0	2	0	4	0	0
PARK7	0	17	0	0	0	13	0	0
ERRFI1	1	49	0	10	0	45	0	0
