#Gene	syn.obs	syn.haps	lgd.obs	lgd.haps	dmis.obs	dmis.haps	lgd/dmis.obs	lgd/dmis.haps
FAM110C	0	78	0	3	0	22	0	0
SH3YL1	0	52	0	6	0	23	0	0
ACP1	1	180	0	1	0	6	0	0
ALKAL2	0	6	0	0	0	2	0	0
TMEM18	0	12	0	35	0	35	0	0
SNTG2	0	43	0	10	0	131	0	0
TPO	1	402	0	23	0	71	0	0
PXDN	1	179	0	1	2	317	0	0
MYT1L	0	183	0	0	0	46	0	0
EIPR1	1	124	0	0	1	32	0	0
TRAPPC12	0	70	0	2	0	146	0	0
ADI1	0	12	0	2	1	60	0	0
AC108488.2	0	3	0	0	0	1	0	0
RNASEH1	0	102	0	47	0	10	0	0
RPS7	0	12	0	1	0	7	0	0
COLEC11	1	321	0	1	0	32	0	0
ALLC	0	46	0	21	0	96	0	0
DCDC2C	1	116	0	19	0	23	0	0
SOX11	0	52	0	0	0	20	0	0
CMPK2	0	51	0	4	0	48	0	0
RSAD2	0	12	0	4	0	32	0	0
RNF144A	0	40	0	1	0	40	0	0
ID2	0	16	0	0	0	7	0	0
KIDINS220	1	282	0	8	0	112	0	0
MBOAT2	0	62	0	3	0	32	0	0
ASAP2	1	116	0	0	0	33	0	0
ITGB1BP1	0	5	0	1	0	16	0	0
CPSF3	0	52	0	22	0	104	0	0
IAH1	0	19	0	2	0	150	0	0
ADAM17	0	46	0	1	1	263	0	0
YWHAQ	0	10	0	0	0	7	0	0
TAF1B	0	40	0	121	0	71	0	0
GRHL1	0	35	0	1	0	75	0	0
KLF11	0	30	0	4	0	99	0	0
CYS1	0	14	0	1	0	10	0	0
RRM2	0	171	0	1	0	16	0	0
AC007240.1	0	171	0	1	0	16	0	0
HPCAL1	0	31	0	0	0	6	0	0
ODC1	0	40	0	1	0	88	0	0
NOL10	0	49	0	2	0	170	0	0
ATP6V1C2	0	74	0	2	0	74	0	0
PDIA6	0	146	0	2	0	44	0	0
KCNF1	0	157	0	0	0	9	0	0
C2orf50	0	9	0	12	0	14	0	0
PQLC3	0	13	0	2	0	14	0	0
ROCK2	0	26	0	1	0	107	0	0
E2F6	0	6	0	1	0	12	0	0
GREB1	5	627	0	7	1	324	0	0
NTSR2	2	201	0	19	0	67	0	0
LPIN1	0	102	0	10	0	93	0	0
TRIB2	1	107	0	0	0	38	0	0
FAM84A	0	14	0	0	0	30	0	0
NBAS	3	236	0	25	7	583	0	0
DDX1	0	156	0	2	0	32	0	0
MYCN	0	122	0	0	0	73	0	0
FAM49A	0	9	0	1	0	20	0	0
RAD51AP2	0	83	0	25	0	38	0	0
VSNL1	0	8	0	0	0	7	0	0
SMC6	0	331	0	30	0	117	0	0
GEN1	0	228	0	12	0	68	0	0
MSGN1	0	87	0	2	0	8	0	0
KCNS3	0	140	0	5	0	50	0	0
RDH14	0	4	0	1	0	49	0	0
NT5C1B-RDH14	0	47	0	9	0	78	0	0
NT5C1B	0	45	0	8	0	71	0	0
OSR1	0	18	0	0	0	40	0	0
TTC32	0	8	0	3	0	19	0	0
WDR35	0	49	0	16	1	234	0	0
MATN3	0	41	0	4	0	37	0	0
LAPTM4A	0	4	0	2	0	11	0	0
SDC1	0	171	0	0	0	40	0	0
PUM2	0	140	0	8	0	119	0	0
RHOB	0	21	0	1	0	21	0	0
HS1BP3	0	137	0	0	1	175	0	0
GDF7	1	252	0	1	1	238	0	0
LDAH	0	12	0	0	0	71	0	0
APOB	4	494	0	963	10	1540	0	0
TDRD15	0	0	0	0	0	0	0	0
KLHL29	0	130	0	0	0	95	0	0
ATAD2B	0	159	0	2	0	58	0	0
UBXN2A	0	12	0	1	0	33	0	0
MFSD2B	0	162	0	32	1	239	0	0
WDCP	0	57	0	2	0	111	0	0
FKBP1B	0	1	0	0	0	2	0	0
SF3B6	0	98	0	1	0	0	0	0
FAM228B	0	1008	0	7	0	66	0	0
TP53I3	0	9	0	5	0	13	0	0
PFN4	0	1004	0	2	0	53	0	0
AC008073.3	0	6	0	1	0	10	0	0
FAM228A	0	43	0	2	0	16	0	0
ITSN2	0	88	0	117	6	530	0	0
NCOA1	0	167	0	0	1	117	0	0
PTRHD1	0	0	0	0	0	0	0	0
CENPO	0	163	0	2	0	33	0	0
ADCY3	5	352	0	3	0	107	0	0
DNAJC27	0	22	0	1	0	21	0	0
EFR3B	0	130	0	5	0	68	0	0
POMC	1	265	0	8	0	114	0	0
DNMT3A	0	149	0	4	0	62	0	0
DTNB	1	125	0	9	0	153	0	0
ASXL2	1	103	0	0	0	119	0	0
KIF3C	0	149	0	0	0	66	0	0
RAB10	0	10	0	0	0	0	0	0
GAREM2	0	71	0	5	0	53	0	0
HADHA	0	158	0	7	0	79	0	0
HADHB	0	78	0	7	0	35	0	0
ADGRF3	2	1336	0	123	3	282	0	0
SELENOI	2	1409	0	124	4	305	0	0
DRC1	0	115	0	16	0	153	0	0
OTOF	2	379	0	34	6	491	0	0
C2orf70	0	5	0	0	0	10	0	0
CIB4	0	68	0	2	0	148	0	0
KCNK3	0	29	0	0	0	33	0	0
SLC35F6	0	87	0	1	0	22	0	0
CENPA	0	91	0	6	0	25	0	0
DPYSL5	0	73	0	0	0	88	0	0
MAPRE3	0	31	0	1	0	12	0	0
TMEM214	1	156	0	2	0	106	0	0
AGBL5	0	69	0	3	1	166	0	0
OST4	0	0	0	0	0	0	0	0
EMILIN1	0	16	0	1	0	23	0	0
KHK	0	7	0	0	0	18	0	0
CGREF1	0	812	0	12	0	7	0	0
ABHD1	0	1	0	0	0	0	0	0
PREB	0	60	0	1	0	94	0	0
PRR30	0	0	0	0	0	0	0	0
TCF23	0	6	0	0	0	28	0	0
SLC5A6	0	96	0	7	0	36	0	0
ATRAID	0	0	0	0	0	0	0	0
CAD	4	388	0	1	1	327	0	0
SLC30A3	0	31	0	2	0	61	0	0
DNAJC5G	0	5	0	1	0	138	0	0
TRIM54	0	6	0	10	0	10	0	0
UCN	0	0	0	0	0	0	0	0
MPV17	0	10	0	2	0	13	0	0
GTF3C2	0	65	0	1	0	94	0	0
EIF2B4	0	63	0	0	0	6	0	0
SNX17	0	64	0	2	1	257	0	0
ZNF513	0	0	0	0	0	0	0	0
PPM1G	0	3	0	0	0	10	0	0
NRBP1	0	47	0	0	0	16	0	0
KRTCAP3	0	0	0	0	0	0	0	0
IFT172	0	144	0	11	2	394	0	0
FNDC4	0	0	0	0	0	0	0	0
GCKR	0	85	0	93	0	81	0	0
C2orf16	0	13	0	2	0	1	0	0
ZNF512	0	1045	0	1	0	26	0	0
CCDC121	0	0	0	0	0	0	0	0
GPN1	0	55	0	3	0	57	0	0
SUPT7L	0	5	0	4	0	28	0	0
SLC4A1AP	0	151	0	13	0	39	0	0
MRPL33	0	118	0	9	0	79	0	0
RBKS	0	116	0	9	0	74	0	0
BABAM2	0	150	0	0	0	137	0	0
FOSL2	0	37	0	0	0	24	0	0
PLB1	4	317	0	45	1	1217	0	0
PPP1CB	0	45	0	0	0	2	0	0
SPDYA	0	27	0	3	0	13	0	0
TRMT61B	0	49	0	4	0	116	0	0
WDR43	0	32	0	1	0	70	0	0
TOGARAM2	3	275	0	116	0	197	0	0
PCARE	4	420	0	11	1	1044	0	0
CLIP4	0	147	0	1	0	163	0	0
ALK	3	585	0	4	0	113	0	0
YPEL5	0	2	0	0	0	5	0	0
LBH	0	19	0	0	0	16	0	0
LCLAT1	0	96	0	3	0	27	0	0
CAPN13	0	52	0	7	2	251	0	0
GALNT14	1	191	0	17	0	104	0	0
CAPN14	0	44	0	11	0	6	0	0
EHD3	0	237	0	3	0	53	0	0
XDH	2	327	0	32	1	387	0	0
SRD5A2	0	11	0	2	0	0	0	0
MEMO1	0	26	0	1	0	12	0	0
DPY30	0	67	0	1	0	16	0	0
SPAST	0	11	0	0	0	75	0	0
SLC30A6	0	17	0	3	0	40	0	0
NLRC4	0	44	0	6	0	47	0	0
YIPF4	0	7	0	1	0	98	0	0
BIRC6	4	500	0	3	5	625	0	0
TTC27	0	91	0	14	0	117	0	0
LTBP1	0	200	0	2	1	257	0	0
RASGRP3	0	216	0	3	2	112	0	0
FAM98A	0	167	0	2	1	247	0	0
CRIM1	0	265	0	0	1	204	0	0
FEZ2	0	91	0	2	1	99	0	0
VIT	0	103	0	15	0	163	0	0
STRN	0	92	0	0	0	64	0	0
HEATR5B	0	142	0	8	0	115	0	0
GPATCH11	0	1	0	3	0	15	0	0
EIF2AK2	0	41	0	4	0	11	0	0
SULT6B1	0	18	0	3	0	21	0	0
CEBPZOS	0	9	0	4	0	13	0	0
CEBPZ	0	19	0	6	0	151	0	0
NDUFAF7	0	12	0	6	0	30	0	0
PRKD3	1	190	0	1	0	241	0	0
QPCT	0	9	0	13	0	84	0	0
CDC42EP3	0	20	0	2	0	25	0	0
RMDN2	0	90	0	12	0	67	0	0
CYP1B1	0	7	0	7	0	88	0	0
ATL2	0	47	0	1	0	149	0	0
HNRNPLL	2	128	0	4	0	13	0	0
GALM	0	49	0	7	1	73	0	0
SRSF7	0	7	0	0	0	10	0	0
GEMIN6	0	21	0	1	0	12	0	0
DHX57	0	97	0	3	1	181	0	0
MORN2	0	5	0	4	0	18	0	0
ARHGEF33	0	71	0	6	0	71	0	0
SOS1	0	95	0	2	0	102	0	0
CDKL4	0	28	0	5	0	138	0	0
MAP4K3	0	64	0	3	0	171	0	0
TMEM178A	0	64	0	0	0	18	0	0
THUMPD2	0	20	0	7	0	27	0	0
SLC8A1	0	100	0	1	0	78	0	0
C2orf91	0	0	0	0	0	0	0	0
PKDCC	1	32	0	1	0	163	0	0
EML4	0	189	0	1	0	83	0	0
COX7A2L	0	2	0	1	0	25	0	0
KCNG3	0	35	0	1	0	12	0	0
MTA3	0	29	0	3	0	103	0	0
OXER1	0	0	0	0	0	0	0	0
HAAO	0	63	0	1	0	116	0	0
ZFP36L2	1	275	0	1	0	100	0	0
THADA	0	16	0	24	0	41	0	0
PLEKHH2	0	158	0	13	1	214	0	0
C1GALT1C1L	0	0	0	0	0	0	0	0
DYNC2LI1	0	10	0	5	0	64	0	0
ABCG5	0	82	0	4	3	139	0	0
ABCG8	3	200	0	34	1	178	0	0
LRPPRC	0	65	0	1	0	176	0	0
PPM1B	0	33	0	3	0	93	0	0
AC013717.1	0	272	0	15	2	325	0	0
SLC3A1	0	242	0	12	0	239	0	0
PREPL	1	47	0	5	0	87	0	0
CAMKMT	0	72	0	0	0	28	0	0
SIX3	0	133	0	2	0	37	0	0
SIX2	0	27	0	1	0	185	0	0
SRBD1	0	108	0	3	0	205	0	0
PRKCE	1	271	0	13	0	190	0	0
EPAS1	0	97	0	1	0	181	0	0
TMEM247	0	0	0	0	0	0	0	0
ATP6V1E2	0	19	0	2	0	63	0	0
RHOQ	0	5	0	0	0	7	0	0
PIGF	0	0	0	0	0	0	0	0
CRIPT	0	5	0	2	0	5	0	0
SOCS5	0	87	0	1	0	32	0	0
MCFD2	0	10	0	0	0	20	0	0
TTC7A	4	259	0	8	3	488	0	0
STPG4	1	228	0	3	0	244	0	0
AC073283.3	0	161	0	2	0	21	0	0
CALM2	0	18	0	0	0	1	0	0
EPCAM	0	12	0	0	2	171	0	0
MSH2	0	266	0	9	0	135	0	0
KCNK12	0	106	0	0	0	36	0	0
MSH6	0	220	0	19	0	308	0	0
FBXO11	3	327	0	18	2	440	0	0
FOXN2	0	29	0	3	0	21	0	0
PPP1R21	0	34	0	3	1	117	0	0
STON1	0	67	0	10	2	173	0	0
STON1-GTF2A1L	0	104	0	18	2	256	0	0
GTF2A1L	0	33	0	6	0	75	0	0
AC073082.1	0	36	0	3	0	80	0	0
LHCGR	0	30	0	2	0	60	0	0
FSHR	0	69	0	1	0	26	0	0
NRXN1	4	409	0	1	1	286	0	0
ASB3	0	33	0	3	0	200	0	0
GPR75-ASB3	0	138	0	6	0	329	0	0
CHAC2	0	0	0	0	0	0	0	0
ERLEC1	0	54	0	1	0	71	0	0
GPR75	0	52	0	2	0	59	0	0
PSME4	2	122	0	1	0	24	0	0
ACYP2	0	8	0	1	0	3	0	0
TSPYL6	0	0	0	0	0	0	0	0
C2orf73	0	18	0	2	0	0	0	0
SPTBN1	0	331	0	11	4	316	0	0
EML6	2	555	0	7	1	360	0	0
RTN4	0	141	0	0	0	138	0	0
CLHC1	0	24	0	3	0	32	0	0
RPS27A	0	0	0	0	0	0	0	0
MTIF2	0	50	0	4	0	63	0	0
CCDC88A	1	258	0	0	1	127	0	0
CFAP36	0	12	0	4	0	20	0	0
PPP4R3B	0	9	0	0	0	12	0	0
PNPT1	0	5	0	1	0	15	0	0
EFEMP1	0	44	0	1	0	57	0	0
CCDC85A	1	121	0	1	0	46	0	0
VRK2	0	21	0	76	0	136	0	0
FANCL	0	22	0	72	0	94	0	0
BCL11A	0	125	0	0	0	56	0	0
PAPOLG	1	197	0	2	0	26	0	0
REL	0	26	0	2	0	14	0	0
PUS10	0	22	0	2	0	58	0	0
PEX13	0	10	0	4	0	105	0	0
KIAA1841	0	34	0	3	0	62	0	0
C2orf74	0	0	0	0	0	0	0	0
USP34	0	344	0	1	1	298	0	0
XPO1	1	110	0	0	0	21	0	0
FAM161A	0	60	0	0	0	3	0	0
CCT4	0	137	0	2	0	61	0	0
COMMD1	0	21	0	2	0	10	0	0
