#Gene	syn.obs	syn.haps	lgd.obs	lgd.haps	dmis.obs	dmis.haps	lgd/dmis.obs	lgd/dmis.haps
FP565260.4	0	0	0	0	0	0	0	0
FP565260.3	0	0	0	0	0	0	0	0
GATD3B	0	0	0	0	0	0	0	0
FP565260.2	0	0	0	0	0	0	0	0
FP565260.1	0	0	0	0	0	0	0	0
FP565260.6	0	0	0	0	0	0	0	0
H2BFS	0	0	0	0	0	0	0	0
SIK1B	0	0	0	0	0	0	0	0
CBSL	0	0	0	0	0	0	0	0
U2AF1L5	0	0	0	0	0	0	0	0
CRYAA2	0	0	0	0	0	0	0	0
SMIM11B	0	0	0	0	0	0	0	0
FAM243B	0	0	0	0	0	0	0	0
SMIM34B	0	0	0	0	0	0	0	0
KCNE1B	0	0	0	0	0	0	0	0
TPTE	0	246	0	81	2	493	0	0
POTED	0	1	0	0	0	0	0	0
LIPI	0	7	0	4	0	50	0	0
RBM11	0	65	0	8	0	49	0	0
HSPA13	0	13	0	1	0	57	0	0
SAMSN1	0	61	0	6	0	73	0	0
NRIP1	1	95	0	3	0	135	0	0
USP25	0	165	0	3	0	159	0	0
CXADR	0	105	0	0	1	35	0	0
BTG3	0	13	0	1	0	24	0	0
C21orf91	0	35	0	4	0	38	0	0
CHODL	0	20	0	1	0	15	0	0
TMPRSS15	0	95	1	47	1	186	0	0
NCAM2	0	94	0	7	1	54	0	0
MRPL39	1	67	0	98	0	45	0	0
JAM2	0	18	0	4	0	24	0	0
ATP5PF	0	2	0	3	0	19	0	0
GABPA	0	51	0	1	0	32	0	0
APP	0	92	0	10	0	93	0	0
CYYR1	0	20	0	33	0	34	0	0
ADAMTS1	0	88	0	3	1	377	0	0
ADAMTS5	0	229	0	1	0	118	0	0
N6AMT1	0	12	0	4	0	52	0	0
LTN1	1	56	0	47	1	291	0	0
RWDD2B	0	0	0	1	0	0	0	0
USP16	0	82	0	1	0	61	0	0
CCT8	0	36	0	0	0	97	0	0
MAP3K7CL	0	24	0	2	0	19	0	0
BACH1	0	66	0	6	1	172	0	0
GRIK1	0	95	0	6	0	117	0	0
CLDN17	0	30	0	7	0	27	0	0
CLDN8	0	12	0	3	0	76	0	0
KRTAP24-1	0	31	0	38	0	6	0	0
KRTAP25-1	0	6	0	0	0	0	0	0
KRTAP26-1	0	23	0	1	0	110	0	0
KRTAP27-1	0	9	0	33	0	3	0	0
KRTAP23-1	0	2	0	0	0	0	0	0
KRTAP13-2	0	11	0	7	0	8	0	0
KRTAP13-1	0	6	0	62	0	29	0	0
KRTAP13-3	0	0	0	0	0	0	0	0
