#Gene	syn.obs	syn.haps	lgd.obs	lgd.haps	dmis.obs	dmis.haps	lgd/dmis.obs	lgd/dmis.haps
PLEKHG4B	4	558	0	21	0	94	0	0
LRRC14B	0	0	0	0	0	0	0	0
CCDC127	0	59	0	3	0	101	0	0
SDHA	1	301	0	65	0	92	0	0
PDCD6	1	94	0	4	0	54	0	0
AHRR	1	322	0	6	0	123	0	0
EXOC3	0	216	0	1	0	83	0	0
SLC9A3	0	307	0	1	0	82	0	0
CEP72	0	141	0	27	0	46	0	0
TPPP	0	33	0	0	0	13	0	0
ZDHHC11B	2	165	1	19	0	14	0	0
ZDHHC11	0	97	0	32	0	17	0	0
BRD9	0	50	0	7	0	10	0	0
TRIP13	0	37	0	1	0	18	0	0
NKD2	0	103	0	4	0	39	0	0
SLC12A7	9	524	0	7	2	135	0	0
SLC6A19	0	192	0	8	1	141	0	0
SLC6A18	0	71	0	24	0	250	0	0
TERT	2	381	0	1	0	91	0	0
CLPTM1L	0	49	0	0	0	78	0	0
SLC6A3	0	220	0	3	0	28	0	0
LPCAT1	2	225	0	0	0	20	0	0
MRPL36	0	0	0	0	0	0	0	0
NDUFS6	0	9	0	1	0	6	0	0
IRX4	0	127	0	0	0	143	0	0
IRX2	2	173	0	2	0	79	0	0
C5orf38	0	0	0	0	0	0	0	0
IRX1	0	96	0	0	0	65	0	0
ADAMTS16	0	324	0	3	1	121	0	0
ICE1	2	402	0	12	0	146	0	0
MED10	0	5	0	3	0	11	0	0
UBE2QL1	0	12	0	0	0	8	0	0
NSUN2	0	129	0	4	0	178	0	0
SRD5A1	0	19	0	0	0	12	0	0
TENT4A	2	479	0	0	0	32	0	0
ADCY2	0	109	0	1	0	55	0	0
C5orf49	0	9	0	3	0	1	0	0
MTRR	2	139	0	14	0	185	0	0
FASTKD3	0	2	0	7	0	42	0	0
SEMA5A	4	326	0	1	1	119	0	0
TAS2R1	0	21	0	0	0	8	0	0
FAM173B	0	2	0	66	0	0	0	0
CCT5	0	24	0	0	1	155	0	0
CMBL	0	76	0	2	0	31	0	0
MARCH6	0	76	0	0	0	36	0	0
ROPN1L	0	9	0	31	0	26	0	0
ANKRD33B	0	261	0	0	0	45	0	0
DAP	0	20	0	58	0	6	0	0
CTNND2	2	167	0	0	1	148	0	0
DNAH5	1	322	0	50	13	811	0	0
TRIO	0	351	0	0	1	248	0	0
OTULINL	0	57	0	5	0	70	0	0
OTULIN	0	35	0	1	0	76	0	0
