#Gene	syn.obs	syn.haps	lgd.obs	lgd.haps	dmis.obs	dmis.haps	lgd/dmis.obs	lgd/dmis.haps
DUSP22	0	27	0	1	0	21	0	0
IRF4	0	56	0	0	0	42	0	0
EXOC2	0	60	0	7	1	81	0	0
HUS1B	0	0	0	0	0	0	0	0
FOXQ1	0	35	0	3	0	22	0	0
FOXF2	0	34	0	0	0	34	0	0
FOXC1	0	87	0	0	0	61	0	0
GMDS	0	36	0	1	0	15	0	0
MYLK4	0	26	0	10	0	13	0	0
WRNIP1	0	19	0	4	0	50	0	0
SERPINB1	0	37	0	4	0	11	0	0
SERPINB9	0	28	0	11	0	34	0	0
SERPINB6	0	24	0	1	0	28	0	0
NQO2	0	13	0	9	0	18	0	0
RIPK1	0	50	0	2	0	42	0	0
BPHL	0	27	0	8	0	12	0	0
TUBB2A	0	29	0	1	0	12	0	0
TUBB2B	0	16	0	0	0	19	0	0
PSMG4	0	63	0	1	0	39	0	0
SLC22A23	0	84	0	1	0	61	0	0
PXDC1	0	27	0	7	0	19	0	0
FAM50B	0	11	0	1	0	35	0	0
PRPF4B	0	63	0	1	0	57	0	0
FAM217A	0	44	0	16	0	27	0	0
C6orf201	0	21	0	2	0	10	0	0
ECI2	0	24	0	2	0	11	0	0
CDYL	0	61	0	2	0	55	0	0
RPP40	0	18	0	4	0	20	0	0
PPP1R3G	0	49	0	3	0	26	0	0
LYRM4	0	2	0	0	0	6	0	0
FARS2	0	36	0	8	0	47	0	0
NRN1	0	8	0	0	0	14	0	0
F13A1	0	47	0	1	0	50	0	0
LY86	0	8	0	1	0	3	0	0
RREB1	0	153	0	3	1	171	0	0
SSR1	0	8	0	1	0	17	0	0
CAGE1	0	19	0	10	0	19	0	0
RIOK1	0	0	0	0	0	0	0	0
DSP	0	131	0	11	4	214	0	0
SNRNP48	0	22	0	7	0	45	0	0
BMP6	1	74	0	0	0	62	0	0
TXNDC5	0	33	0	3	0	28	0	0
BLOC1S5-TXNDC5	0	39	0	3	0	38	0	0
BLOC1S5	0	6	0	0	0	10	0	0
EEF1E1-BLOC1S5	0	15	0	1	0	16	0	0
EEF1E1	0	9	0	1	0	6	0	0
SLC35B3	0	43	0	5	0	36	0	0
TFAP2A	0	32	0	0	0	28	0	0
GCNT2	0	66	0	16	0	50	0	0
C6orf52	0	1	0	3	0	4	0	0
PAK1IP1	0	3	0	2	0	8	0	0
TMEM14C	0	3	0	4	0	7	0	0
TMEM14B	0	13	0	8	0	49	0	0
AL024498.2	0	84	0	11	0	118	0	0
MAK	0	12	0	8	0	44	0	0
GCM2	0	50	0	1	0	37	0	0
SYCP2L	0	39	0	5	0	38	0	0
ELOVL2	0	13	0	0	0	11	0	0
SMIM13	0	8	0	0	0	1	0	0
ERVFRD-1	0	0	0	0	0	0	0	0
NEDD9	0	55	0	2	0	51	0	0
TMEM170B	0	3	0	2	0	16	0	0
ADTRP	0	15	0	1	0	9	0	0
HIVEP1	0	168	0	1	0	190	0	0
EDN1	0	19	0	1	0	15	0	0
PHACTR1	0	44	0	0	0	24	0	0
TBC1D7	0	30	0	2	0	26	0	0
GFOD1	0	34	0	0	0	21	0	0
SIRT5	0	21	0	24	0	35	0	0
NOL7	0	6	0	0	0	1	0	0
RANBP9	0	66	0	1	0	47	0	0
MCUR1	0	22	0	4	0	14	0	0
RNF182	0	6	0	6	0	9	0	0
CD83	0	8	0	1	0	5	0	0
JARID2	0	121	0	0	0	88	0	0
DTNBP1	0	29	0	20	0	18	0	0
MYLIP	0	17	0	2	0	47	0	0
GMPR	0	17	0	4	0	41	0	0
ATXN1	0	636	0	0	0	64	0	0
STMND1	0	10	0	3	0	12	0	0
RBM24	0	14	0	2	0	12	0	0
CAP2	0	25	0	5	0	27	0	0
FAM8A1	0	26	0	0	0	22	0	0
NUP153	0	44	0	243	0	100	0	0
