#Gene	syn.obs	syn.haps	lgd.obs	lgd.haps	dmis.obs	dmis.haps	lgd/dmis.obs	lgd/dmis.haps
CHL1	0	88	0	0	0	92	0	0
CNTN6	0	1119	0	19	1	121	0	0
CNTN4	0	75	0	7	0	95	0	0
IL5RA	0	19	0	6	0	9	0	0
TRNT1	0	7	0	13	1	37	0	0
CRBN	0	21	0	8	0	25	0	0
SUMF1	0	129	0	13	1	154	0	0
LRRN1	0	53	0	0	0	73	0	0
SETMAR	0	45	0	11	0	39	0	0
ITPR1	0	211	0	8	0	134	0	0
BHLHE40	0	24	0	0	0	22	0	0
ARL8B	0	5	0	2	0	1	0	0
EDEM1	0	41	0	7	2	75	0	0
GRM7	0	66	0	2	0	54	0	0
LMCD1	0	32	0	0	0	78	0	0
SSUH2	0	29	0	10	0	33	0	0
CAV3	0	47	0	2	0	55	0	0
OXTR	0	47	0	2	0	54	0	0
RAD18	0	13	0	5	0	22	0	0
SRGAP3	0	106	0	1	0	99	0	0
THUMPD3	0	19	0	7	0	64	0	0
SETD5	1	82	0	0	2	119	0	0
LHFPL4	0	36	0	0	0	5	0	0
MTMR14	0	23	0	12	0	52	0	0
CPNE9	0	6	0	0	0	7	0	0
BRPF1	0	70	0	0	0	84	0	0
OGG1	0	68	0	4	0	72	0	0
CAMK1	0	20	0	4	0	43	0	0
TADA3	0	42	0	0	0	29	0	0
ARPC4	0	2	0	0	0	11	0	0
ARPC4-TTLL3	0	46	0	4	0	75	0	0
TTLL3	0	76	0	5	0	80	0	0
RPUSD3	0	33	0	1	0	16	0	0
CIDEC	0	29	0	3	0	52	0	0
JAGN1	0	20	0	0	0	25	0	0
IL17RE	0	19	0	3	0	29	0	0
IL17RC	0	71	0	11	0	45	0	0
CRELD1	0	0	0	0	0	0	0	0
PRRT3	0	73	0	7	0	88	0	0
EMC3	0	3	0	0	0	15	0	0
FANCD2	0	74	0	18	0	105	0	0
FANCD2OS	0	12	0	4	0	17	0	0
BRK1	0	1	0	1	0	4	0	0
VHL	0	28	0	1	0	22	0	0
IRAK2	0	37	0	19	0	34	0	0
TATDN2	1	86	0	2	1	51	0	0
AC022384.1	1	84	0	1	1	38	0	0
GHRL	0	15	0	2	0	7	0	0
SEC13	0	19	0	0	0	34	0	0
ATP2B2	0	102	0	2	0	64	0	0
SLC6A11	0	67	0	4	0	40	0	0
SLC6A1	0	87	0	1	0	17	0	0
HRH1	0	26	0	0	0	29	0	0
ATG7	0	19	0	9	0	47	0	0
VGLL4	0	55	0	1	0	35	0	0
TAMM41	0	17	0	3	0	19	0	0
SYN2	0	31	0	2	0	44	0	0
TIMP4	0	26	0	2	0	34	0	0
PPARG	0	24	0	0	0	18	0	0
TSEN2	0	32	0	3	0	26	0	0
MKRN2OS	0	7	0	5	0	16	0	0
MKRN2	0	23	0	3	0	25	0	0
RAF1	0	32	0	0	0	29	0	0
TMEM40	0	14	0	6	0	16	0	0
CAND2	0	116	0	6	0	138	0	0
RPL32	0	7	0	0	0	8	0	0
IQSEC1	1	99	0	0	1	128	0	0
NUP210	0	141	0	12	1	166	0	0
HDAC11	0	18	0	2	0	46	0	0
FBLN2	1	132	0	2	0	120	0	0
WNT7A	0	29	0	1	0	32	0	0
CHCHD4	0	12	0	1	0	15	0	0
TMEM43	0	23	0	4	0	38	0	0
AC090004.1	0	8	0	0	0	20	0	0
XPC	0	54	0	6	0	57	0	0
LSM3	0	4	0	1	0	3	0	0
SLC6A6	0	13	0	0	0	5	0	0
GRIP2	0	37	0	4	0	35	0	0
CCDC174	0	14	0	0	0	30	0	0
C3orf20	0	45	0	17	0	1057	0	0
FGD5	0	129	0	2	1	111	0	0
NR2C2	0	49	0	1	0	42	0	0
MRPS25	0	18	0	4	0	12	0	0
RBSN	0	42	0	3	0	37	0	0
CAPN7	0	30	0	4	1	40	0	0
SH3BP5	0	22	0	0	0	22	0	0
METTL6	0	13	0	4	0	9	0	0
EAF1	0	0	0	1	0	0	0	0
COLQ	0	33	0	4	0	48	0	0
HACL1	0	42	0	10	0	56	0	0
BTD	0	21	0	8	0	54	0	0
ANKRD28	0	57	0	0	0	92	0	0
GALNT15	0	43	0	10	0	55	0	0
DPH3	0	0	0	0	0	0	0	0
OXNAD1	0	825	0	8	0	28	0	0
RFTN1	0	830	0	5	0	42	0	0
DAZL	0	13	0	1	0	27	0	0
PLCL2	0	32	0	4	0	30	0	0
TBC1D5	0	80	0	11	0	97	0	0
SATB1	0	57	0	2	0	28	0	0
KCNH8	0	66	0	3	0	84	0	0
