#Gene	syn.obs	syn.haps	lgd.obs	lgd.haps	dmis.obs	dmis.haps	lgd/dmis.obs	lgd/dmis.haps
ZNF595	0	39	0	4	0	26	0	0
ZNF718	0	0	0	0	0	0	0	0
ZNF732	0	38	0	11	0	28	0	0
ZNF141	0	12	0	1	0	9	0	0
ZNF721	0	47	0	27	0	34	0	0
PIGG	0	67	0	5	0	84	0	0
TMEM271	0	0	0	0	0	0	0	0
PDE6B	0	108	0	16	0	106	0	0
ATP5ME	0	0	0	0	0	0	0	0
MYL5	0	4	0	1	0	9	0	0
SLC49A3	0	48	0	12	0	68	0	0
PCGF3	0	14	0	0	0	12	0	0
CPLX1	0	10	0	0	0	6	0	0
GAK	1	151	0	3	0	178	0	0
TMEM175	0	74	0	13	0	64	0	0
DGKQ	0	71	0	8	0	65	0	0
SLC26A1	0	1125	0	16	0	8	0	0
IDUA	0	2004	0	19	0	68	0	0
FGFRL1	0	83	0	5	0	68	0	0
RNF212	0	36	0	5	0	22	0	0
SPON2	0	23	0	3	0	40	0	0
CTBP1	2	58	0	0	0	38	0	0
MAEA	0	31	0	0	0	19	0	0
UVSSA	2	1249	1	82	0	85	0	0
NKX1-1	0	0	0	0	0	0	0	0
FAM53A	0	37	0	2	0	38	0	0
SLBP	0	13	0	2	0	14	0	0
TMEM129	0	13	0	2	0	19	0	0
TACC3	0	62	0	3	0	33	0	0
FGFR3	0	55	0	1	0	34	0	0
LETM1	0	57	0	3	0	32	0	0
NSD2	0	37	0	2	0	20	0	0
NELFA	0	12	0	0	0	1	0	0
C4orf48	0	3	0	0	0	6	0	0
NAT8L	0	24	0	0	0	10	0	0
POLN	0	37	0	17	0	91	0	0
HAUS3	0	17	0	4	0	33	0	0
MXD4	0	22	0	1	0	8	0	0
ZFYVE28	0	148	0	4	0	80	0	0
CFAP99	0	0	0	1	0	0	0	0
RNF4	0	17	0	0	0	16	0	0
FAM193A	0	81	0	0	0	106	0	0
TNIP2	0	23	0	4	0	26	0	0
SH3BP2	0	74	0	11	0	79	0	0
ADD1	0	56	0	1	0	52	0	0
MFSD10	0	0	0	0	0	0	0	0
NOP14	0	90	0	4	0	88	0	0
GRK4	0	21	0	9	0	37	0	0
HTT	0	219	0	4	1	188	0	0
MSANTD1	0	63	0	1	0	32	0	0
RGS12	0	128	0	9	1	117	0	0
HGFAC	0	67	0	5	0	51	0	0
DOK7	0	77	0	4	0	161	0	0
LRPAP1	0	0	0	0	0	0	0	0
ADRA2C	0	31	0	0	0	25	0	0
OTOP1	0	455	0	5	0	84	0	0
TMEM128	0	4	0	5	0	15	0	0
LYAR	0	48	0	4	0	20	0	0
ZBTB49	0	56	0	7	0	29	0	0
NSG1	0	9	0	1	0	18	0	0
STX18	0	11	0	2	0	28	0	0
MSX1	0	16	0	0	0	27	0	0
CYTL1	0	18	0	2	0	5	0	0
STK32B	0	51	0	5	0	51	0	0
EVC2	0	99	0	16	0	101	0	0
EVC	0	1005	0	7	0	79	0	0
CRMP1	0	1027	0	4	0	91	0	0
C4orf50	0	129	0	3	0	68	0	0
JAKMIP1	0	106	0	1	0	51	0	0
AC092442.1	0	0	0	0	0	0	0	0
WFS1	0	189	0	12	0	232	0	0
PPP2R2C	0	10	0	0	0	4	0	0
MAN2B2	0	119	0	10	0	127	0	0
MRFAP1	0	32	0	0	0	17	0	0
AC093323.1	0	0	0	0	0	0	0	0
S100P	0	9	0	0	0	3	0	0
MRFAP1L1	0	15	0	2	0	8	0	0
BLOC1S4	0	21	0	2	0	20	0	0
KIAA0232	1	79	0	0	0	85	0	0
TBC1D14	0	53	0	0	0	31	0	0
CCDC96	0	0	0	0	0	0	0	0
TADA2B	0	16	0	1	0	5	0	0
GRPEL1	0	16	0	0	0	7	0	0
SORCS2	0	246	0	14	0	132	0	0
PSAPL1	0	102	0	11	0	38	0	0
AFAP1	0	77	0	3	0	881	0	0
ABLIM2	0	50	0	3	0	108	0	0
SH3TC1	3	229	0	13	0	145	0	0
HTRA3	0	44	0	2	0	49	0	0
ACOX3	1	70	0	8	0	59	0	0
TRMT44	0	21	0	20	0	38	0	0
GPR78	1	153	0	39	0	226	0	0
CPZ	1	111	0	34	0	168	0	0
HMX1	0	33	0	6	0	24	0	0
FAM90A26	0	0	0	0	0	0	0	0
USP17L10	0	0	0	0	0	0	0	0
USP17L11	0	0	0	0	0	0	0	0
USP17L12	0	0	0	0	0	0	0	0
USP17L13	0	0	0	0	0	0	0	0
USP17L15	0	0	0	0	0	0	0	0
USP17L17	0	0	0	0	0	0	0	0
USP17L18	0	0	0	0	0	0	0	0
USP17L19	0	0	0	0	0	0	0	0
USP17L20	0	0	0	0	0	0	0	0
USP17L21	0	0	0	0	0	0	0	0
USP17L22	0	0	0	0	0	0	0	0
USP17L23	0	0	0	0	0	0	0	0
USP17L24	0	0	0	0	0	0	0	0
USP17L25	0	0	0	0	0	0	0	0
USP17L26	0	0	0	0	0	0	0	0
USP17L5	0	0	0	0	0	0	0	0
USP17L27	0	0	0	0	0	0	0	0
USP17L28	0	0	0	0	0	0	0	0
USP17L29	0	0	0	0	0	0	0	0
USP17L30	0	0	0	0	0	0	0	0
DEFB131A	0	7	0	7	0	11	0	0
SLC2A9	0	365	0	4	0	369	0	0
DRD5	0	53	0	4	0	48	0	0
WDR1	0	50	0	2	0	42	0	0
ZNF518B	0	59	0	6	0	49	0	0
CLNK	0	22	0	3	0	33	0	0
HS3ST1	0	34	0	0	0	31	0	0
RAB28	0	4	0	5	0	11	0	0
NKX3-2	0	24	0	0	0	22	0	0
BOD1L1	1	183	0	14	0	136	0	0
CPEB2	0	65	0	3	0	48	0	0
C1QTNF7	0	19	0	2	0	26	0	0
CC2D2A	0	101	0	19	1	71	0	0
FBXL5	0	23	0	0	0	39	0	0
FAM200B	0	22	0	9	0	47	0	0
BST1	0	11	0	4	0	39	0	0
CD38	0	17	0	7	0	14	0	0
FGFBP1	0	26	0	9	0	16	0	0
FGFBP2	0	43	0	4	0	10	0	0
PROM1	0	49	0	10	0	57	0	0
TAPT1	0	54	0	1	0	21	0	0
LDB2	0	44	0	2	0	19	0	0
QDPR	0	17	0	2	0	33	0	0
CLRN2	0	6	0	2	0	18	0	0
LAP3	0	44	0	3	0	49	0	0
MED28	0	10	0	0	0	16	0	0
FAM184B	0	54	0	10	0	52	0	0
DCAF16	0	6	0	0	0	14	0	0
NCAPG	0	29	0	8	0	66	0	0
LCORL	0	13	0	5	0	14	0	0
SLIT2	0	91	0	0	0	108	0	0
PACRGL	0	9	0	3	0	11	0	0
KCNIP4	0	2	0	0	0	4	0	0
ADGRA3	0	1	0	1	0	4	0	0
GBA3	0	10	0	0	0	16	0	0
PPARGC1A	0	32	0	2	0	86	0	0
DHX15	0	40	0	1	0	28	0	0
SOD3	0	52	0	2	0	31	0	0
CCDC149	0	8	0	0	0	4	0	0
LGI2	0	31	0	1	0	42	0	0
SEPSECS	0	3	0	1	0	6	0	0
AC104662.2	1	15	0	3	0	13	0	0
PI4K2B	1	15	0	3	0	13	0	0
ZCCHC4	0	28	0	39	0	32	0	0
ANAPC4	0	18	0	3	0	25	0	0
SLC34A2	0	42	0	5	0	76	0	0
SEL1L3	0	86	0	2	0	71	0	0
SMIM20	0	2	0	0	0	3	0	0
RBPJ	0	25	0	3	0	24	0	0
CCKAR	0	30	0	1	0	55	0	0
TBC1D19	0	26	0	3	0	34	0	0
STIM2	0	27	0	0	0	38	0	0
PCDH7	0	64	0	0	0	87	0	0
ARAP2	0	70	0	7	0	138	0	0
DTHD1	0	17	0	16	0	36	0	0
NWD2	0	90	0	4	0	144	0	0
C4orf19	0	33	0	4	0	5	0	0
RELL1	0	39	0	2	0	24	0	0
PGM2	0	27	0	8	0	49	0	0
TBC1D1	0	68	0	6	0	84	0	0
PTTG2	0	0	0	0	0	0	0	0
KLF3	0	26	0	0	0	25	0	0
TLR10	0	27	0	14	0	26	0	0
TLR1	1	109	0	22	1	129	0	0
TLR6	0	54	0	1	0	36	0	0
FAM114A1	0	46	0	7	0	45	0	0
TMEM156	0	8	0	2	0	24	0	0
KLHL5	0	26	0	5	0	48	0	0
WDR19	0	55	0	8	0	91	0	0
RFC1	0	68	0	10	0	58	0	0
KLB	0	46	0	9	0	56	0	0
RPL9	0	0	0	0	0	0	0	0
LIAS	0	12	0	3	0	7	0	0
UGDH	0	11	0	1	0	37	0	0
SMIM14	0	8	0	0	0	20	0	0
UBE2K	0	5	0	1	0	2	0	0
PDS5A	0	46	0	5	0	29	0	0
N4BP2	0	76	0	3	0	70	0	0
RHOH	0	7	0	0	0	9	0	0
CHRNA9	0	38	0	6	0	84	0	0
RBM47	0	41	0	1	0	51	0	0
NSUN7	0	23	0	2	0	12	0	0
APBB2	0	71	0	3	0	59	0	0
UCHL1	0	14	0	0	0	10	0	0
LIMCH1	0	36	0	4	0	84	0	0
PHOX2B	0	37	0	3	0	6	0	0
TMEM33	0	1	0	1	0	1	0	0
DCAF4L1	0	42	0	1	0	15	0	0
SLC30A9	0	28	0	6	0	34	0	0
BEND4	0	64	0	1	0	37	0	0
SHISA3	0	22	0	4	0	21	0	0
ATP8A1	0	35	0	4	0	63	0	0
GRXCR1	0	13	0	2	0	30	0	0
KCTD8	0	17	0	4	0	53	0	0
YIPF7	0	31	0	2	0	22	0	0
GUF1	0	37	0	12	0	59	0	0
GNPDA2	0	35	0	12	0	52	0	0
GABRG1	0	18	0	2	0	31	0	0
GABRA2	0	26	0	1	0	5	0	0
COX7B2	0	0	0	1	0	4	0	0
GABRA4	0	26	0	0	0	29	0	0
GABRB1	0	28	0	1	0	14	0	0
COMMD8	0	13	0	2	0	23	0	0
ATP10D	0	51	0	18	0	108	0	0
CORIN	0	45	0	12	0	92	0	0
NFXL1	0	31	0	11	0	62	0	0
NIPAL1	0	60	0	17	0	44	0	0
CNGA1	0	31	0	14	0	29	0	0
TXK	0	34	0	3	1	45	0	0
TEC	0	28	0	1	0	14	0	0
SLAIN2	0	40	0	0	0	57	0	0
SLC10A4	0	27	0	2	0	25	0	0
ZAR1	0	1	0	1	0	7	0	0
FRYL	0	135	0	18	0	169	0	0
OCIAD1	0	17	0	3	0	10	0	0
