#Gene	syn.obs	syn.haps	lgd.obs	lgd.haps	dmis.obs	dmis.haps	lgd/dmis.obs	lgd/dmis.haps
TUBB8P12	0	0	0	0	0	0	0	0
USP14	0	17	0	1	0	15	0	0
THOC1	0	34	0	1	0	28	0	0
COLEC12	0	61	0	5	0	104	0	0
CETN1	0	20	0	4	0	13	0	0
CLUL1	0	16	0	6	0	21	0	0
TYMS	0	2	0	0	0	11	0	0
ENOSF1	0	22	0	9	0	66	0	0
YES1	0	12	0	1	0	48	0	0
ADCYAP1	0	0	0	0	0	0	0	0
METTL4	0	12	0	3	0	25	0	0
NDC80	0	12	0	1	0	38	0	0
SMCHD1	0	69	0	4	0	95	0	0
EMILIN2	1	89	0	8	0	133	0	0
LPIN2	0	35	0	4	0	57	0	0
MYOM1	0	118	0	11	1	424	0	0
MYL12A	0	6	0	1	0	8	0	0
MYL12B	0	24	0	0	0	8	0	0
TGIF1	0	30	0	14	0	19	0	0
DLGAP1	0	51	0	0	0	53	0	0
AKAIN1	0	8	0	0	0	8	0	0
ZBTB14	0	21	0	2	0	16	0	0
EPB41L3	0	63	0	4	0	131	0	0
TMEM200C	0	32	0	0	0	32	0	0
L3MBTL4	0	40	0	6	0	41	0	0
ARHGAP28	0	51	0	6	0	57	0	0
LAMA1	1	200	0	17	1	235	0	0
LRRC30	0	27	0	4	0	33	0	0
PTPRM	0	90	0	2	0	119	0	0
RAB12	0	14	0	1	0	27	0	0
MTCL1	0	176	0	6	1	229	0	0
NDUFV2	0	4	0	7	0	11	0	0
ANKRD12	0	127	0	5	0	132	0	0
TWSG1	0	10	0	3	0	5	0	0
RALBP1	0	31	0	2	0	35	0	0
PPP4R1	0	5	0	0	0	7	0	0
RAB31	0	0	0	0	0	1	0	0
TXNDC2	0	27	0	3	0	15	0	0
VAPA	0	6	0	2	0	13	0	0
APCDD1	0	41	0	0	0	68	0	0
NAPG	0	16	0	0	0	36	0	0
PIEZO2	0	465	0	5	2	305	0	0
SLC35G4	0	638	0	7	0	59	0	0
GNAL	0	42	0	2	0	20	0	0
CHMP1B	0	0	0	0	0	0	0	0
MPPE1	0	12	0	0	0	19	0	0
IMPA2	0	30	0	0	0	26	0	0
ANKRD62	0	0	0	1	0	0	0	0
CIDEA	0	45	0	5	0	35	0	0
TUBB6	0	12	0	2	0	42	0	0
AFG3L2	0	38	0	3	0	47	0	0
PRELID3A	0	17	0	9	0	12	0	0
SPIRE1	0	21	0	5	0	37	0	0
PSMG2	0	45	0	7	0	74	0	0
CEP76	0	30	0	5	0	59	0	0
PTPN2	0	16	0	0	0	24	0	0
SEH1L	0	17	0	0	0	15	0	0
CEP192	0	69	0	2	1	85	0	0
LDLRAD4	0	24	0	1	0	28	0	0
FAM210A	0	19	0	1	0	9	0	0
RNMT	0	5	0	2	0	30	0	0
MC5R	0	21	0	3	0	25	0	0
MC2R	0	29	0	1	0	43	0	0
ZNF519	0	0	0	0	0	0	0	0
POTEC	0	25	0	6	0	25	0	0
ANKRD30B	0	61	0	14	0	7	0	0
ROCK1	0	37	0	6	0	46	0	0
