#Gene	syn.obs	syn.haps	lgd.obs	lgd.haps	dmis.obs	dmis.haps	lgd/dmis.obs	lgd/dmis.haps
IQSEC3	0	89	0	19	0	97	0	0
SLC6A12	0	55	0	2	0	47	0	0
SLC6A13	0	83	0	9	0	106	0	0
KDM5A	0	76	0	15	0	167	0	0
CCDC77	0	12	0	4	0	29	0	0
B4GALNT3	0	62	0	14	0	107	0	0
NINJ2	0	1	0	1	0	0	0	0
WNK1	0	152	0	5	1	172	0	0
RAD52	0	0	0	1	0	0	0	0
ERC1	0	32	0	6	0	81	0	0
WNT5B	0	97	0	0	0	53	0	0
FBXL14	0	61	0	0	0	22	0	0
ADIPOR2	0	20	0	0	0	9	0	0
CACNA2D4	0	0	0	5	0	0	0	0
LRTM2	0	0	0	0	0	0	0	0
DCP1B	0	36	0	6	0	58	0	0
CACNA1C	2	178	0	4	0	124	0	0
FKBP4	0	29	0	4	0	32	0	0
ITFG2	0	75	0	7	0	81	0	0
NRIP2	0	27	0	7	0	25	0	0
TEX52	0	0	0	0	0	0	0	0
FOXM1	0	60	0	0	0	72	0	0
RHNO1	0	7	0	0	0	2	0	0
TULP3	0	32	0	12	0	48	0	0
TEAD4	0	26	0	1	0	53	0	0
TSPAN9	0	20	0	1	0	23	0	0
PRMT8	0	2	0	0	0	1	0	0
CRACR2A	0	27	0	10	0	40	0	0
PARP11	0	9	0	6	0	20	0	0
AC008012.1	0	27	0	1	0	51	0	0
CCND2	0	6	0	0	0	30	0	0
TIGAR	0	11	0	0	0	3	0	0
FGF23	0	10	0	1	0	18	0	0
FGF6	0	18	0	1	0	39	0	0
C12orf4	0	16	0	6	0	19	0	0
RAD51AP1	0	15	0	0	0	29	0	0
DYRK4	0	27	0	5	0	52	0	0
AC005832.4	0	64	0	11	0	72	0	0
AKAP3	0	36	0	9	0	31	0	0
NDUFA9	0	24	0	0	0	37	0	0
AC005833.1	1	56	0	13	1	84	0	0
GALNT8	1	82	0	13	1	76	0	0
